CG;CPP-SERIAL;C;150000;75;1;0;318.57933100
CG;CPP-OPENACC;C;150000;75;0;1;2.05506900
CG;PYTHON-CUDA;B;75000;75;0;1;2.86266327
CG;CPP-OPENACC;B;75000;75;0;1;0.98711500
CG;CPP-CUDA;C;150000;75;0;1;1.82189500
CG;CPP-OPENACC;C;150000;75;0;1;2.04567500
CG;CPP-SERIAL;C;150000;75;1;0;318.35053100
CG;PYTHON-CUDA;C;150000;75;0;1;4.32419562
CG;CPP-OPENACC;B;75000;75;0;1;1.02013900
CG;CPP-SERIAL;C;150000;75;1;0;318.05632000
CG;CPP-CUDA;B;75000;75;0;1;0.76376300
CG;CPP-SERIAL;C;150000;75;1;0;317.99130700
CG;CPP-SERIAL;B;75000;75;1;0;112.29021700
CG;CPP-SERIAL;C;150000;75;1;0;318.20710000
CG;CPP-OPENACC;B;75000;75;0;1;0.98786900
CG;PYTHON-CUDA;C;150000;75;0;1;4.33210588
CG;PYTHON-SERIAL;B;75000;75;1;0;159.78375649
CG;PYTHON-SERIAL;C;150000;75;1;0;435.80684519
CG;CPP-CUDA;B;75000;75;0;1;0.75213900
CG;PYTHON-SERIAL;C;150000;75;1;0;419.51372266
CG;CPP-SERIAL;B;75000;75;1;0;112.27195000
CG;CPP-CUDA;B;75000;75;0;1;0.75861600
CG;CPP-OPENACC;B;75000;75;0;1;0.99362600
CG;CPP-OPENACC;B;75000;75;0;1;1.02860300
CG;PYTHON-SERIAL;B;75000;75;1;0;164.33514023
CG;PYTHON-SERIAL;C;150000;75;1;0;432.47142100
CG;CPP-SERIAL;C;150000;75;1;0;318.84781400
CG;CPP-CUDA;B;75000;75;0;1;0.76484600
CG;CPP-SERIAL;C;150000;75;1;0;318.31402500
CG;PYTHON-SERIAL;B;75000;75;1;0;164.45968914
CG;PYTHON-CUDA;C;150000;75;0;1;4.31473112
CG;CPP-OPENACC;C;150000;75;0;1;2.05041000
CG;CPP-OPENACC;C;150000;75;0;1;2.05993100
CG;CPP-SERIAL;C;150000;75;1;0;318.10830500
CG;CPP-SERIAL;B;75000;75;1;0;112.50392700
CG;CPP-CUDA;B;75000;75;0;1;0.75182200
CG;PYTHON-CUDA;C;150000;75;0;1;4.37886357
CG;PYTHON-SERIAL;B;75000;75;1;0;164.15687180
CG;PYTHON-CUDA;C;150000;75;0;1;4.33456254
CG;CPP-OPENACC;C;150000;75;0;1;2.05271600
CG;PYTHON-SERIAL;B;75000;75;1;0;164.05544329
CG;PYTHON-SERIAL;B;75000;75;1;0;164.31653214
CG;CPP-OPENACC;B;75000;75;0;1;0.98255500
CG;CPP-CUDA;B;75000;75;0;1;0.75371900
CG;PYTHON-SERIAL;B;75000;75;1;0;160.94072652
CG;PYTHON-CUDA;B;75000;75;0;1;2.77853036
CG;CPP-CUDA;C;150000;75;0;1;1.83250300
CG;CPP-OPENACC;B;75000;75;0;1;0.98747400
CG;CPP-OPENACC;C;150000;75;0;1;2.05819100
CG;CPP-OPENACC;C;150000;75;0;1;2.05418000
CG;PYTHON-SERIAL;B;75000;75;1;0;163.80616760
CG;CPP-SERIAL;B;75000;75;1;0;112.22445400
CG;PYTHON-SERIAL;B;75000;75;1;0;164.76346707
CG;CPP-SERIAL;C;150000;75;1;0;319.16885300
CG;PYTHON-CUDA;C;150000;75;0;1;4.27561498
CG;CPP-OPENACC;B;75000;75;0;1;0.99340800
CG;CPP-SERIAL;B;75000;75;1;0;111.89421100
CG;CPP-SERIAL;B;75000;75;1;0;111.95011200
CG;CPP-SERIAL;B;75000;75;1;0;112.51743600
CG;CPP-SERIAL;C;150000;75;1;0;318.18918300
CG;PYTHON-SERIAL;C;150000;75;1;0;421.12973595
CG;CPP-OPENACC;B;75000;75;0;1;0.98880400
CG;CPP-SERIAL;B;75000;75;1;0;112.20785800
CG;CPP-SERIAL;C;150000;75;1;0;318.50892300
CG;PYTHON-SERIAL;C;150000;75;1;0;422.29407763
CG;CPP-CUDA;B;75000;75;0;1;0.76465900
CG;CPP-OPENACC;B;75000;75;0;1;0.98550900
CG;PYTHON-CUDA;B;75000;75;0;1;2.88972330
CG;CPP-CUDA;B;75000;75;0;1;0.75674900
CG;CPP-CUDA;B;75000;75;0;1;0.75211200
CG;PYTHON-CUDA;C;150000;75;0;1;4.29877973
CG;CPP-OPENACC;C;150000;75;0;1;2.05156400
CG;CPP-CUDA;C;150000;75;0;1;1.82395100
CG;PYTHON-CUDA;C;150000;75;0;1;4.29235435
CG;CPP-OPENACC;B;75000;75;0;1;0.97469200
CG;PYTHON-CUDA;C;150000;75;0;1;4.29380894
CG;CPP-CUDA;C;150000;75;0;1;1.82414400
CG;CPP-CUDA;B;75000;75;0;1;0.75964600
CG;CPP-SERIAL;B;75000;75;1;0;112.12494700
CG;CPP-CUDA;C;150000;75;0;1;1.82100400
CG;PYTHON-SERIAL;B;75000;75;1;0;160.83893323
CG;PYTHON-SERIAL;C;150000;75;1;0;421.58613420
CG;PYTHON-CUDA;C;150000;75;0;1;4.35584307
CG;CPP-OPENACC;B;75000;75;0;1;0.98572800
CG;CPP-OPENACC;B;75000;75;0;1;0.99483700
CG;PYTHON-SERIAL;B;75000;75;1;0;164.21649098
CG;CPP-OPENACC;B;75000;75;0;1;0.98546300
CG;CPP-SERIAL;C;150000;75;1;0;317.98084500
CG;PYTHON-SERIAL;C;150000;75;1;0;421.80325341
CG;CPP-CUDA;B;75000;75;0;1;0.76609500
CG;PYTHON-CUDA;B;75000;75;0;1;2.94077086
CG;PYTHON-CUDA;B;75000;75;0;1;2.83913946
